pwsid,supply_name,county,year,lines_replaced
MI0000245,ASH TOWNSHIP,MONROE,2024,1
MI0000260,ATHENS,CALHOUN,2024,10
MI0000320,AUGUSTA,KALAMAZOO,2024,10
MI0000350,"BALDWIN, VILLAGE OF",LAKE,2024,10
MI0000420,BARODA,BERRIEN,2024,2
MI0000430,BARTON HILLS,WASHTENAW,2024,1
MI0000450,BATTLE CREEK - VERONA SYSTEM,CALHOUN,2024,254
MI0000470,"BAY CITY, CITY OF",BAY,2024,628
MI0000510,"BEAR LAKE, VILLAGE OF",MANISTEE,2024,2
MI0000560,BELDING,IONIA,2024,189
MI0000570,"BELLAIRE, VILLAGE OF",ANTRIM,2024,4
MI0000590,"BELLEVUE, VILLAGE OF",EATON,2024,2
MI0000605,BENTON CHARTER TOWNSHIP,BERRIEN,2024,5
MI0000610,BENZONIA VILLAGE OF,BENZIE,2024,5
MI0000630,BERKLEY,OAKLAND,2024,54
MI0000650,BERRIEN SPRINGS,BERRIEN,2024,12
MI0000660,BESSEMER,GOGEBIC,2024,20
MI0000690,BEVERLY HILLS,OAKLAND,2024,2
MI0000730,BIRMINGHAM,OAKLAND,2024,27
MI0000750,BLISSFIELD,LENAWEE,2024,7
MI0000910,BRONSON,BRANCH,2024,13
MI0000940,BROWNSTOWN TOWNSHIP,WAYNE,2024,8
