pwsid,year,county_for_checking,lines_replaced
MI0006640,2022,GRAND TRAVERSE,26
MI0006640,2023,GRAND TRAVERSE,125
MI0006640,2024,GRAND TRAVERSE,217
MI0006650,2021,WAYNE,10
MI0006650,2022,WAYNE,14
MI0006650,2023,WAYNE,9
MI0006650,2024,WAYNE,3
MI0006720,2022,BRANCH,5
MI0006720,2023,BRANCH,4
MI0006720,2024,BRANCH,11
MI0006760,2021,MACOMB,11
MI0006780,2024,TUSCOLA,4
MI0006800,2021,KALAMAZOO,59
MI0006800,2022,KALAMAZOO,13
MI0006800,2023,KALAMAZOO,1
MI0006800,2024,KALAMAZOO,8
MI0006830,2024,GOGEBIC,14
MI0006900,2021,MACOMB,99
MI0006900,2022,MACOMB,99
MI0006900,2023,MACOMB,65
MI0006900,2024,MACOMB,69
MI0006910,2024,OAKLAND,2
MI0006920,2024,GOGEBIC,1
MI0006930,2021,BERRIEN,61
MI0006930,2022,BERRIEN,3
MI0006930,2023,BERRIEN,6
MI0006930,2024,BERRIEN,6
MI0006940,2023,ALLEGAN,5
MI0006940,2024,ALLEGAN,69
MI0006950,2021,WAYNE,43
MI0006950,2022,WAYNE,44
MI0006950,2023,WAYNE,153
MI0006950,2024,WAYNE,399
MI0006970,2024,INGHAM,3
MI0006975,2023,OAKLAND,3
MI0007010,2022,OGEMAW,59
MI0007010,2023,OGEMAW,95
MI0007010,2024,OGEMAW,6
MI0007040,2021,WAYNE,7
MI0007040,2023,WAYNE,2
MI0007040,2024,WAYNE,2
MI0007060,2021,NEWAYGO,4
MI0007060,2023,NEWAYGO,2
MI0007070,2021,ST. JOSEPH,86
MI0007070,2022,ST. JOSEPH,2
MI0007070,2023,ST. JOSEPH,5
MI0007070,2024,ST. JOSEPH,5
MI0007100,2021,MUSKEGON,8
MI0007100,2022,MUSKEGON,31
MI0007100,2023,MUSKEGON,26
MI0007100,2024,MUSKEGON,31
MI0007120,2021,INGHAM,3
MI0007120,2022,INGHAM,2
MI0007210,2021,WAYNE,30
MI0007210,2022,WAYNE,53
